,January,February,District,Year,Oct_District,October,Oct_Year,November,December
164,0.102559,0.1068005,CHURU,2010,CHURU,0.2201086,2010,0.1546322,0.1243463
165,0.102559,0.1068005,CHURU,2010,CHURU,0.2201086,2010,0.1546322,0.1243463
166,0.1196674,0.1369788,CHURU,2011,CHURU,0.2054409,2011,0.1478156,0.1365077
167,0.1272832,0.135805,CHURU,2012,CHURU,0.2092954,2012,0.1353342,0.1217146
168,0.1132947,0.1297851,CHURU,2013,CHURU,0.2117888,2013,0.1352469,0.1210534
169,0.1231033,0.142222,CHURU,2014,CHURU,0.1822085,2014,0.1277774,0.1240552
170,0.1249688,0.137227,CHURU,2015,CHURU,0.1768554,2015,0.134016,0.1247753
171,0.1359355,0.1390961,CHURU,2016,CHURU,0.1901031,2016,0.1287432,0.1287708
172,0.1374454,0.1476483,CHURU,2017,CHURU,0.1555202,2017,0.1221246,0.117703
173,0.1385615,0.1436376,CHURU,2018,CHURU,0.1894183,2018,0.1231658,0.1212073
174,0.1387086,0.1461222,CHURU,2019,CHURU,0.1994291,2019,0.1275209,0.1231594
175,0.2855492,0.2954061,DAUSA,2001,DAUSA,0.1717752,2001,0.156223,0.1918236
176,0.2874433,0.3157256,DAUSA,2002,DAUSA,0.1733707,2002,0.1463208,0.2090762
177,0.2646408,0.2896158,DAUSA,2003,DAUSA,0.2243583,2003,0.1935897,0.2455976
178,0.3018244,0.311601,DAUSA,2004,DAUSA,0.1909833,2004,0.1888183,0.272602
179,0.3325742,0.3232355,DAUSA,2005,DAUSA,0.2069886,2005,0.2099853,0.2582438
180,0.3101582,0.294464,DAUSA,2006,DAUSA,0.1756129,2006,0.1752836,0.2232621
181,0.3036889,0.2965004,DAUSA,2007,DAUSA,0.202145,2007,0.1634765,0.2327385
182,0.2882985,0.3014752,DAUSA,2008,DAUSA,0.2031424,2008,0.2035507,0.2739374
183,0.3379846,0.3008901,DAUSA,2009,DAUSA,0.2077339,2009,0.1883593,0.2775545
184,0.3482788,0.3043316,DAUSA,2010,DAUSA,0.2370562,2010,0.1929382,0.2677268
185,0.3482788,0.3043316,DAUSA,2010,DAUSA,0.2370562,2010,0.1929382,0.2677268
